Organization Type,Sponsorship Category Name,Organization,Sponsorship Category,Year,Initial Allocation ($)
External,STUDENT ACTIVITY GROUPS,Undergraduate Financial Assn/Undergraduate Management Consulting Group,SAG,10,300.00
External,STUDENT ACTIVITY GROUPS,Undergraduate Marketing Association,SAG,21,600.00
External,STUDENT ACTIVITY GROUPS,Undergraduate Political Science Association,SAG,1,400.00
External,STUDENT ACTIVITY GROUPS,Undergraduate Statistics Association,SAG,3,500.00
External,STUDENT ACTIVITY GROUPS,Undergraduate Women in Economics at Berkeley,SAG,1,400.00
External,STUDENT ACTIVITY GROUPS,United Nations Association of Berkeley,SAG,5,400.00
External,STUDENT ACTIVITY GROUPS,United Pre-Health Peers,SAG,1,400.00
External,STUDENT ACTIVITY GROUPS,Upsync,SAG,2,0.00
External,STUDENT ACTIVITY GROUPS,Valley Consulting Group,SAG,2,400.00
External,STUDENT ACTIVITY GROUPS,VISION,SAG,6,500.00
External,STUDENT ACTIVITY GROUPS,Voyager Consulting,SAG,4,500.00
External,STUDENT ACTIVITY GROUPS,Women in Mathematics at Berkeley,SAG,4,500.00
External,STUDENT ACTIVITY GROUPS,Wrestling Club at Berkeley,SAG,2,400.00
External,STUDENT ACTIVITY GROUPS,Yemeni Student Association of Berkeley,SAG,1,400.00
External,STUDENT ACTIVITY GROUPS,Zahanat,SAG,1,400.00
External,STUDENT-INITIATED SERVICE GROUPS,*UC Berkeley Public Service Center*,SISG,49,45000.00
External,STUDENT-INITIATED SERVICE GROUPS,100 Strong,SISG,4,600.00
External,STUDENT-INITIATED SERVICE GROUPS,Academic Cultural Enrichment Coaches,SISG,2,500.00
External,STUDENT-INITIATED SERVICE GROUPS,"Alpha Kappa Alpha Sorority, Incorporated.",SISG,3,600.00
External,STUDENT-INITIATED SERVICE GROUPS,Alternative Breaks,SISG,15,2650.00
External,STUDENT-INITIATED SERVICE GROUPS,American Bone Health at Berkeley,SISG,3,600.00
External,STUDENT-INITIATED SERVICE GROUPS,American Red Cross at Cal,SISG,13,6000.00
External,STUDENT-INITIATED SERVICE GROUPS,Amnesty International,SISG,8,800.00
External,STUDENT-INITIATED SERVICE GROUPS,ANova,SISG,1,0.00
External,STUDENT-INITIATED SERVICE GROUPS,Anti-Trafficking Coalition at Berkeley (Formerly Stop the Traffick),SISG,9,1500.00
External,STUDENT-INITIATED SERVICE GROUPS,"Asha for Education, Berkeley",SISG,13,1400.00
External,STUDENT-INITIATED SERVICE GROUPS,Asian American Pacific Islander Health Research Group,SISG,4,800.00
External,STUDENT-INITIATED SERVICE GROUPS,ASUC Student Legal Clinic,SISG,34,500.00
External,STUDENT-INITIATED SERVICE GROUPS,Bay Area Environmentally Aware Consulting Network,SISG,9,400.00
External,STUDENT-INITIATED SERVICE GROUPS,Bears 4 Elder Welfare,SISG,6,436.00
External,STUDENT-INITIATED SERVICE GROUPS,Bears for Palestine,SISG,3,500.00
External,STUDENT-INITIATED SERVICE GROUPS,Berkeley Cambodian Student Association,SISG,3,800.00
External,STUDENT-INITIATED SERVICE GROUPS,Berkeley Disaster Response Team,SISG,2,150.00
External,STUDENT-INITIATED SERVICE GROUPS,Berkeley Medical Reserve Corps,SISG,4,600.00
External,STUDENT-INITIATED SERVICE GROUPS,Best Buddies at Berkeley,SISG,11,530.00
External,STUDENT-INITIATED SERVICE GROUPS,Bhagat Puran Singh Health Initiative,SISG,3,600.00
External,STUDENT-INITIATED SERVICE GROUPS,Big Ideas@Berkeley,SISG,1,400.00
External,STUDENT-INITIATED SERVICE GROUPS,Blood Pressure Project,SISG,4,500.00
External,STUDENT-INITIATED SERVICE GROUPS,"Blueprint, Technology for Nonprofits",SISG,6,600.00
External,STUDENT-INITIATED SERVICE GROUPS,Body Peace,SISG,5,235.00
External,STUDENT-INITIATED SERVICE GROUPS,bridges Multicultural Resource Center,SISG,21,33500.00
External,STUDENT-INITIATED SERVICE GROUPS,Cal Berkeley Habitat for Humanity,SISG,18,2500.00
External,STUDENT-INITIATED SERVICE GROUPS,Cal Community Music,SISG,32,425.00
External,STUDENT-INITIATED SERVICE GROUPS,Cal Queer & Asian,SISG,8,1100.00
External,STUDENT-INITIATED SERVICE GROUPS,Cal Veterans Group,SISG,9,2467.00
External,STUDENT-INITIATED SERVICE GROUPS,California Public Interest Research Group,SISG,12,800.00
External,STUDENT-INITIATED SERVICE GROUPS,Central Americans for Empowerment at Berkeley,SISG,1,500.00
External,STUDENT-INITIATED SERVICE GROUPS,Chican@/ Latin@ Architecture Student Association,SISG,4,400.00
External,STUDENT-INITIATED SERVICE GROUPS,Chican@s/Latin@s in Health Education,SISG,27,3000.00
External,STUDENT-INITIATED SERVICE GROUPS,Children of the Andes,SISG,1,400.00
External,STUDENT-INITIATED SERVICE GROUPS,Colleges Against Cancer,SISG,14,500.00
External,STUDENT-INITIATED SERVICE GROUPS,Computer Science Mentors,SISG,2,0.00
External,STUDENT-INITIATED SERVICE GROUPS,Confi,SISG,2,300.00
External,STUDENT-INITIATED SERVICE GROUPS,Cook n' Serve,SISG,1,500.00
External,STUDENT-INITIATED SERVICE GROUPS,Creative Residencies for Emerging Artists Teaching Empowerment,SISG,5,600.00
External,STUDENT-INITIATED SERVICE GROUPS,Dance Marathon,SISG,13,8000.00
External,STUDENT-INITIATED SERVICE GROUPS,Dance the Bay,SISG,4,600.00
External,STUDENT-INITIATED SERVICE GROUPS,"Delta Sigma Theta Sorority, Inc. Kappa Chapter",SISG,16,2500.00
External,STUDENT-INITIATED SERVICE GROUPS,Destress with Dogs,SISG,1,400.00
External,STUDENT-INITIATED SERVICE GROUPS,Dr. Interns,SISG,5,500.00
External,STUDENT-INITIATED SERVICE GROUPS,Dream Campus Ministry,SISG,1,400.00
External,STUDENT-INITIATED SERVICE GROUPS,Dreamers Project Mentorship Program,SISG,1,400.00
External,STUDENT-INITIATED SERVICE GROUPS,Dreamers Project Mentorship Program,SISG,1,400.00
External,STUDENT-INITIATED SERVICE GROUPS,DULCE (Diabetes: Unidos Logaremos Controlar Esta Enfermedad),SISG,10,675.00
External,STUDENT-INITIATED SERVICE GROUPS,East Bay Community Builders,SISG,1,500.00
External,STUDENT-INITIATED SERVICE GROUPS,Effective Altruists of Berkeley,SISG,2,500.00
External,STUDENT-INITIATED SERVICE GROUPS,Enactus of Berkeley (formerly SIFE],SISG,2,500.00
External,STUDENT-INITIATED SERVICE GROUPS,Engineers Without Borders at Berkeley,SISG,6,0.00
External,STUDENT-INITIATED SERVICE GROUPS,Expanding Your Horizons at Berkeley,SISG,5,1000.00
External,STUDENT-INITIATED SERVICE GROUPS,eXperimental Computing Facility,SISG,1,500.00
External,STUDENT-INITIATED SERVICE GROUPS,Financial Literacy and Economic Justice Conference (Flejcon),SISG,1,500.00
External,STUDENT-INITIATED SERVICE GROUPS,"Gamma Zeta Alpha Fraternity, Inc.",SISG,9,930.00
External,STUDENT-INITIATED SERVICE GROUPS,Gates Millennium Scholars Association,SISG,11,950.00
External,STUDENT-INITIATED SERVICE GROUPS,GiANT filmmakers,SISG,9,1910.00
External,STUDENT-INITIATED SERVICE GROUPS,Global Medical Training at Berkeley,SISG,1,0.00
External,STUDENT-INITIATED SERVICE GROUPS,Global Social Innovation Initiative at Berkeley,SISG,2,500.00
External,STUDENT-INITIATED SERVICE GROUPS,GlobeMed at Berkeley,SISG,1,0.00
External,STUDENT-INITIATED SERVICE GROUPS,Graduate Students de la Raza,SISG,1,500.00
External,STUDENT-INITIATED SERVICE GROUPS,Grant A Wish at Berkeley,SISG,5,500.00
External,STUDENT-INITIATED SERVICE GROUPS,Hands and Feet,SISG,2,400.00
External,STUDENT-INITIATED SERVICE GROUPS,Health and Medical Apprenticeship Program,SISG,34,13500.00
External,STUDENT-INITIATED SERVICE GROUPS,Health Guardians of Berkeley,SISG,7,800.00
External,STUDENT-INITIATED SERVICE GROUPS,Hermanas Unidas,SISG,12,1000.00
External,STUDENT-INITIATED SERVICE GROUPS,Hippies for Hope,SISG,2,400.00
External,STUDENT-INITIATED SERVICE GROUPS,Hispanic Engineers and Scientists,SISG,3,0.00
External,STUDENT-INITIATED SERVICE GROUPS,Hmong Student Association at Berkeley,SISG,10,1500.00
External,STUDENT-INITIATED SERVICE GROUPS,Homeless Student Union,SISG,2,2800.00
External,STUDENT-INITIATED SERVICE GROUPS,InnoWorks of Berkeley,SISG,4,600.00
External,STUDENT-INITIATED SERVICE GROUPS,Iota Phi Theta Fraternity Inc,SISG,5,0.00
External,STUDENT-INITIATED SERVICE GROUPS,Iu-Mien Student Union,SISG,11,1433.00
External,STUDENT-INITIATED SERVICE GROUPS,Jakara Movement Club at Berkeley,SISG,1,500.00
External,STUDENT-INITIATED SERVICE GROUPS,Kidney Disease Screening And Awareness Program (KDSAP),SISG,1,500.00
External,STUDENT-INITIATED SERVICE GROUPS,Kids in Nutrition,SISG,1,300.00
External,STUDENT-INITIATED SERVICE GROUPS,Labor Coach Program,SISG,7,800.00
External,STUDENT-INITIATED SERVICE GROUPS,"Lambda Theta Nu Sorority, Inc.",SISG,7,450.00
External,STUDENT-INITIATED SERVICE GROUPS,"Lambda Theta Phi Latin Fraternity, Inc.",SISG,11,2033.00
External,STUDENT-INITIATED SERVICE GROUPS,"Lambda Upsilon Lambda Fraternity, Inc. (LUL)",SISG,4,800.00
External,STUDENT-INITIATED SERVICE GROUPS,Laotian American Student Representation,SISG,19,2000.00
External,STUDENT-INITIATED SERVICE GROUPS,Learning Enterprises at Berkeley,SISG,3,600.00
External,STUDENT-INITIATED SERVICE GROUPS,Let's Rise - Asian Mentorship,SISG,12,1300.00
External,STUDENT-INITIATED SERVICE GROUPS,Mak,SISG,1,300.00
External,STUDENT-INITIATED SERVICE GROUPS,MEDLIFE,SISG,7,550.00
External,STUDENT-INITIATED SERVICE GROUPS,Middle Eastern and North African Recruitment and Retention Center (MENARRC),SISG,4,0.00
External,STUDENT-INITIATED SERVICE GROUPS,Mixed Student Union,SISG,20,500.00
External,STUDENT-INITIATED SERVICE GROUPS,National Council of Negro Women,SISG,11,2000.00
External,STUDENT-INITIATED SERVICE GROUPS,Native American Recruitment and Retention Center,SISG,25,11000.00
External,STUDENT-INITIATED SERVICE GROUPS,Oakland Asian Student Educational Services,SISG,15,1650.00
External,STUDENT-INITIATED SERVICE GROUPS,"Omega Phi Beta Sorority, Incorporated",SISG,6,800.00
External,STUDENT-INITIATED SERVICE GROUPS,Patient Advocacy Student Group,SISG,5,1250.00
External,STUDENT-INITIATED SERVICE GROUPS,Paws and Claws of Berkeley,SISG,6,500.00
External,STUDENT-INITIATED SERVICE GROUPS,"Peers Espousing Amiability, Cooperation, and Education",SISG,3,500.00
External,STUDENT-INITIATED SERVICE GROUPS,People's Test Preparation Service,SISG,21,3050.00
External,STUDENT-INITIATED SERVICE GROUPS,Pilipino Academic Student Services,SISG,33,33600.00
External,STUDENT-INITIATED SERVICE GROUPS,Pre-Health Student Council,SISG,4,500.00
External,STUDENT-INITIATED SERVICE GROUPS,Project Peanut Butter,SISG,3,500.00
External,STUDENT-INITIATED SERVICE GROUPS,"Project RISHI, The Berkley Chapter",SISG,10,1164.00
External,STUDENT-INITIATED SERVICE GROUPS,Project Spreading Multiculturalism and Inspiring Leadership through Education (Project SMILE),SISG,9,3000.00
External,STUDENT-INITIATED SERVICE GROUPS,Project Vision,SISG,11,900.00
External,STUDENT-INITIATED SERVICE GROUPS,Queer Alliance & Resource Center,SISG,49,18000.00
External,STUDENT-INITIATED SERVICE GROUPS,Queer Student Union,SISG,10,300.00
External,STUDENT-INITIATED SERVICE GROUPS,Raza Recruitment and Retention Center,SISG,40,56766.00
External,STUDENT-INITIATED SERVICE GROUPS,Reach! Asian Pacific American Recruitment and Retention Center,SISG,21,21000.00
External,STUDENT-INITIATED SERVICE GROUPS,Rebuild with Refugees,SISG,3,450.00
External,STUDENT-INITIATED SERVICE GROUPS,Renters' Legal Assistance,SISG,35,200.00
External,STUDENT-INITIATED SERVICE GROUPS,Rotaract,SISG,13,2000.00
External,STUDENT-INITIATED SERVICE GROUPS,"Sage Mentorship Project, the",SISG,5,600.00
External,STUDENT-INITIATED SERVICE GROUPS,Seed of Health,SISG,1,0.00
External,STUDENT-INITIATED SERVICE GROUPS,"Sigma Gamma Rho Sorority, Incorporated",SISG,3,600.00
External,STUDENT-INITIATED SERVICE GROUPS,Southeast Asian Mentorshiop,SISG,11,800.00
External,STUDENT-INITIATED SERVICE GROUPS,Southeast Asian Prison Outreach Project,SISG,7,700.00
External,STUDENT-INITIATED SERVICE GROUPS,Southeast Asian Student Coalition,SISG,11,8300.00
External,STUDENT-INITIATED SERVICE GROUPS,Spectrum: Autism at Cal (Formerly known as Autism Speaks U at Berkeley) (Spectrum),SISG,7,600.00
External,STUDENT-INITIATED SERVICE GROUPS,Student to Student Peer Counseling,SISG,25,1100.00
External,STUDENT-INITIATED SERVICE GROUPS,Suitcase Clinic,SISG,19,11000.00
External,STUDENT-INITIATED SERVICE GROUPS,Teach in Prison,SISG,8,2650.00
External,STUDENT-INITIATED SERVICE GROUPS,Team HBV,SISG,11,650.00
External,STUDENT-INITIATED SERVICE GROUPS,The Berkeley Group,SISG,15,1900.00
External,STUDENT-INITIATED SERVICE GROUPS,The Berkeley Project,SISG,11,900.00
External,STUDENT-INITIATED SERVICE GROUPS,The Youth Support Program,SISG,22,800.00
External,STUDENT-INITIATED SERVICE GROUPS,Theater for Charity,SISG,15,1550.00
External,STUDENT-INITIATED SERVICE GROUPS,TRENZA,SISG,22,1600.00
External,STUDENT-INITIATED SERVICE GROUPS,True Asian Leaders,SISG,1,400.00
External,STUDENT-INITIATED SERVICE GROUPS,Tzu Chi Compassion Relief Foundation,SISG,9,300.00
External,STUDENT-INITIATED SERVICE GROUPS,UNICEF at Berkeley,SISG,15,615.00
External,STUDENT-INITIATED SERVICE GROUPS,Universal Love and Peace,SISG,6,500.00
External,STUDENT-INITIATED SERVICE GROUPS,Universities Allied For Essential Medicines,SISG,3,500.00
External,STUDENT-INITIATED SERVICE GROUPS,Urban Scholars at Berkeley,SISG,2,500.00
External,STUDENT-INITIATED SERVICE GROUPS,V-Day at Berkeley (V-Day),SISG,3,500.00
External,STUDENT-INITIATED SERVICE GROUPS,VIDA Medical Volunteer,SISG,1,400.00
External,STUDENT-INITIATED SERVICE GROUPS,Vietnamese Student Association,SISG,26,5700.00
External,STUDENT-INITIATED SERVICE GROUPS,Volunteer Health Interpreters Organization,SISG,12,2100.00
External,STUDENT-INITIATED SERVICE GROUPS,Volunteer Income Tax Assistance Program,SISG,4,600.00
External,STUDENT-INITIATED SERVICE GROUPS,VOLUNTEERS FOR MEDICAL OUTREACH,SISG,5,2200.00
External,STUDENT-INITIATED SERVICE GROUPS,Women and Youth Supporting Each Other,SISG,3,600.00
External,STUDENT-INITIATED SERVICE GROUPS,Wonderworks,SISG,7,600.00
External,STUDENT-INITIATED SERVICE GROUPS,You Mean More,SISG,6,1500.00
Internal,"GRANTS, SCHOLARSHIPS, & FUNDS",Academic Opportunity Grant,GRNT,,20000.00
Internal,"GRANTS, SCHOLARSHIPS, & FUNDS",Arts and Creativity Grant,GRNT,,3500.00
Internal,"GRANTS, SCHOLARSHIPS, & FUNDS",DeCal Grant,GRNT,,3500.00
Internal,"GRANTS, SCHOLARSHIPS, & FUNDS",Educational Equity and Excellence Grant,GRNT,,4000.00
Internal,"GRANTS, SCHOLARSHIPS, & FUNDS",Intellectual Community Grant,GRNT,,4500.00
Internal,"GRANTS, SCHOLARSHIPS, & FUNDS",Multicultural Grant,GRNT,,4000.00
Internal,"GRANTS, SCHOLARSHIPS, & FUNDS",Public Service Grant,GRNT,,4500.00
Internal,"GRANTS, SCHOLARSHIPS, & FUNDS",Outstanding Student Recognition Scholarship,SCLR,,1000.00
Internal,"GRANTS, SCHOLARSHIPS, & FUNDS",RISE Scholarship,SCLR,,5000.00
Internal,"GRANTS, SCHOLARSHIPS, & FUNDS",Textbook Scholarship,SCLR,,5000.00
Internal,"GRANTS, SCHOLARSHIPS, & FUNDS",Greek Opportunity Fund,FUND,,2000.00
Internal,"GRANTS, SCHOLARSHIPS, & FUNDS",Senate Contingency Fund,FUND,,60000.00
Internal,"GRANTS, SCHOLARSHIPS, & FUNDS",Other Grants and Scholarships ,FUND,,0.00
Internal,OFFICE OF THE PRESIDENT,Chief-of-Staff Stipend,OP,,2000.00
Internal,OFFICE OF THE PRESIDENT,President Discretionary Fund,OP,,5000.00
Internal,OFFICE OF THE PRESIDENT,President Stipend,OP,,4000.00
Internal,OFFICE OF THE EXECUTIVE VICE PRESIDENT,Chief-of-Staff Stipend,EVP,,2000.00
Internal,OFFICE OF THE EXECUTIVE VICE PRESIDENT,EVP Discretionary Fund,EVP,,5000.00
Internal,OFFICE OF THE EXECUTIVE VICE PRESIDENT,EVP Stipend,EVP,,4000.00
Internal,OFFICE OF THE EXTERNAL AFFAIRS VICE PRESIDENT,Chief-of-Staff Stipend,EAVP,,2000.00
Internal,OFFICE OF THE EXTERNAL AFFAIRS VICE PRESIDENT,EAVP Discretionary Fund,EAVP,,15000.00
Internal,OFFICE OF THE EXTERNAL AFFAIRS VICE PRESIDENT,EAVP Stipend,EAVP,,4000.00
Internal,OFFICE OF THE EXTERNAL AFFAIRS VICE PRESIDENT,Legislative Conference,EAVP,,12000.00
Internal,OFFICE OF THE EXTERNAL AFFAIRS VICE PRESIDENT,Lobby Corps,EAVP,,18000.00
Internal,OFFICE OF THE EXTERNAL AFFAIRS VICE PRESIDENT,UC Student Association,EAVP,,32000.00
Internal,OFFICE OF THE ACADEMIC AFFAIRS VICE PRESIDENT,AAVP Discretionary Fund,AAVP,,3500.00
Internal,OFFICE OF THE ACADEMIC AFFAIRS VICE PRESIDENT,AAVP Stipend,AAVP,,4000.00
Internal,OFFICE OF THE ACADEMIC AFFAIRS VICE PRESIDENT,Chief-of-Staff Stipend,AAVP,,2000.00
Internal,OFFICE OF THE STUDENT ADVOCATE,Chief-of-Staff Stipend,SAO,,2000.00
Internal,OFFICE OF THE STUDENT ADVOCATE,SAO Discretionary Fund,SAO,,3500.00
Internal,OFFICE OF THE STUDENT ADVOCATE,SAO Stipend,SAO,,4000.00
Internal,SENATE,Senate Leadership Institute / Senate Meetings,SEN,,5000.00
Internal,SENATE,Senators' Discretionary Funds ($500.00 each),SEN,,10000.00
Internal,SENATE,Senators' Stipend ($500.00 each),SEN,,10000.00
Internal,SENATE,ASUC Conference,SEN,,3000.00
Internal,APPOINTED OFFICIALS,Chief Financial Officer Stipend,AOFR,,2000.00
Internal,APPOINTED OFFICIALS,Chief Accountability Officer Stipend,AOFR,,2000.00
Internal,APPOINTED OFFICIALS,Chief Communication Officer Stipend,AOFR,,2000.00
Internal,APPOINTED OFFICIALS,Chief Legal Officer Stipend,AOFR,,2000.00
Internal,APPOINTED OFFICIALS,Chief Technology Officer Stipend,AOFR,,2000.00
Internal,APPOINTED OFFICIALS,Judicial Council Office,AOFR,,500.00
Internal,APPOINTED OFFICIALS,Finance and Budgeting Office (Discretionary) ,AOFR,,6000.00
Internal,APPOINTED OFFICIALS,Marketing and Communications Office (Discretionary),AOFR,,6000.00
Internal,APPOINTED OFFICIALS,Public Defender Stipend,AOFR,,150.00
Internal,APPOINTED OFFICIALS,Chief Appointed Officials Support Staff Stipend ,AOFR,,2500.00
Internal,OPERATIONS,Archives,OPRS,,0.00
Internal,OPERATIONS,ASUC ADMINISTRATIVE OFFICE,OPRS,,70000.00
Internal,OPERATIONS,Legal Fee,OPRS,,32000.00
Internal,OPERATIONS,Audit,OPRS,,22000.00
Internal,OPERATIONS,Bank Fee,OPRS,,1000.00
Internal,OPERATIONS,Big Ideas,OPRS,,13000.00
Internal,OPERATIONS,Capital Improvement Fund Allocation,OPRS,,370000.00
Internal,OPERATIONS,Executive Officer Leadership Institute,OPRS,,3000.00
Internal,ELECTIONS,Elections Council - 1 Tech Coordinator Stipend,ELCT,,250.00
Internal,ELECTIONS,Elections Council - 2 Auditors Stipend ($150.00 each),ELCT,,300.00
Internal,ELECTIONS,Elections Council - Assistant Chair Stipend,ELCT,,300.00
Internal,ELECTIONS,Elections Council - Chair Stipend,ELCT,,1000.00
Internal,ELECTIONS,Elections Council - Chief Auditor Stipend,ELCT,,350.00
Internal,ELECTIONS,Elections Council - Prosecutor Stipend,ELCT,,300.00
Internal,ELECTIONS,Elections Operations,ELCT,,6200.00
Internal,EXTERNAL EXPENDITURES ,Cal Lodge Insurance ,GEN,,17000.00
Internal,EXTERNAL EXPENDITURES,D&O Insurance,GEN,,4000.00
Internal,EXTERNAL EXPENDITURES,GL Insurance,GEN,,19000.00
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
